ITEM_NAME, FACT, ID_CUST
''CANELA RAJA 115GR'',''50-20200126-3-464'',''422110''
''LA DO?A MAYO 350G'',''123-20200216-10-151'',''1226904''
''LA DO?A MAYO 350G'',''104-20191129-14-71'',''519849''
''Pasta/tomate LA'',''20-20191129-4-190'',''740827''
''Pasta/tomate LA'',''20-20191016-3-266'',''740827''
''SALSA INGLESA 12/2'',''50-20191209-2-324'',''425047''
''AMONIA LUX'',''108-20191118-18-86'',''547897''
''Pan Pullman Espec'',''108-20200206-12-79'',''985035''
''ARROZ E/ORO 5LB'',''104-20200116-15-84'',''519849''
''ARROZ E/ORO 5LB'',''290-20191119-9-118'',''413808''
''ARROZ E/ORO 5LB'',''123-20200206-12-117'',''528218''
''ARROZ E/ORO 5LB'',''123-20200120-10-668'',''528218''
''ARROZ E/ORO 5LB'',''123-20191011-11-167'',''528218''
''ARROZ E/ORO 5LB'',''123-20191101-5-146'',''528218''
''PREMIER ARROZ 5LB'',''108-20200301-16-229'',''547897''
''GELATINA UVA 24/6'',''20-20200108-6-114'',''740827''
''GELATINA CARIBE?O'',''104-20200322-6-54'',''519849''
''POROTOS ROJO XTRA'',''108-20191220-16-277'',''985035''
''POROTOS ROJO XTRA'',''108-20200121-6-107'',''985035''
''POROTOS ROJO XTRA'',''193-20191002-7-183'',''429188''
''PAN PULLMAN SPECIA'',''123-20200309-7-110'',''528218''
''PAN PULLMAN SPECIA'',''123-20200310-8-431'',''528218''
''PAN PULLMAN SPECIA'',''108-20200301-16-229'',''547897''
''PAN PULLMAN SPECIA'',''78-20200324-7-4'',''702764''
''PAN PULLMAN SPECIA'',''123-20200321-10-164'',''528218''
''PAN PULLMAN SPECIA'',''108-20191219-8-148'',''547897''
''PAN PULLMAN SPECIA'',''78-20200315-11-16'',''702764''
''PAN PULLMAN SPECIA'',''108-20200311-4-237'',''547897''
''PAN PULLMAN SPECIA'',''108-20200131-11-10'',''547897''
''PAN PULLMAN SPECIA'',''108-20200116-18-381'',''547897''
''PAN PULLMAN SPECIA'',''103-20200121-3-211'',''547897''
''PAN PULLMAN SPECIA'',''390-20200225-2-223'',''547897''
''PAN PULLMAN SPECIA'',''108-20191127-3-239'',''547897''
''PAN PULLMAN SPECIA'',''103-20200107-8-147'',''547897''
''PAN PULLMAN SPECIA'',''123-20191205-12-27'',''528218''
''PAN PULLMAN SPECIA'',''108-20191118-18-86'',''547897''
''PAN PULLMAN SPECIA'',''108-20191118-18-83'',''985035''
''PAN PULLMAN SPECIA'',''78-20191111-7-205'',''702764''
''PAN PULLMAN SPECIA'',''78-20191027-11-40'',''702764''
''PAN PULLMAN SPECIA'',''78-20200105-8-8'',''702764''
